EX_Number,Seed,Checkpoint,Params,Train_Time,Device,Num_Examples,Epochs,Train_F1,Val_F1,Zhihu_F1,Train_loss,Val_loss,Zhihu_loss
8,0.1329,0.388912,0.434573,,8,0.1549,0.388855,0.441213,,,,,
9,0.1179,0.402303,0.430585,,9,0.1192,0.402343,0.434414,,,,,
10,0.0946,0.411545,0.435669,,10,0.1073,0.414092,0.441864,,,,,
11,0.0844,0.419175,0.43492,,11,0.0941,0.424308,0.438313,,,,,
12,0.0769,0.421917,0.434467,,12,0.0791,0.425372,0.429122,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12,5619,roberta-base,124661012,2047.2249,Tesla T4,6701,16,0.990840975844047,0.42510070512912,0.322784579416215,0.0152368675917387,0.526230096817017,0.458745837211609
18,5619,roberta-base,124661012,1941.4414,Tesla T4,6265,16,0.988258947694801,0.454929993520729,0.320533533761292,0.0186856482177973,0.512641787528992,0.473359376192093
9,5619,roberta-base,124661012,1362.1407,Tesla T4,5829,12,0.94317328093429,0.425491420231008,0.286906925524413,0.0543993413448334,0.432365655899048,0.39109194278717
8,5619,roberta-base,124661012,1331.5111,Tesla T4,5611,12,0.948117959122049,0.434467294000077,0.316395467987318,0.0540870241820812,0.421917170286179,0.39170628786087
6,5619,roberta-base,124661012,1299.0081,Tesla T4,5393,12,0.945334062809633,0.429121516308162,0.327309646804455,0.0589555464684963,0.42537185549736,0.379702866077423
22,2387,bert-base-uncased,109497620,1214.934,NVIDIA GeForce GTX 1650,6701,5,0.8326034397110474,0.39313274987526836,0.3031848986131938,0.10526357591152191,0.3606250286102295,0.30070486664772034
23,2387,bert-base-uncased,109497620,1029.2592,NVIDIA GeForce GTX 1650,5393,5,0.7548028542096653,0.37969985402511675,0.2622371134761659,0.14891977608203888,0.35196682810783386,0.30424949526786804
